route_name,bstop_arrive_time,bstop_leave_time,stop_time,node_name,node_x_pos,node_y_pos
압량1,20200104063448,20200104063458,11,당음리입구(경산방향),128.78794,35.82988
399,20200104063522,20200104063548,27,경남신성A,128.7236,35.83046
991,20200104063523,20200104063533,11,롯데시네마,128.7342,35.83427
990,20200104063524,20200104063553,30,옥산네거리(경산방향),128.72644,35.82397
압량1,20200104063530,20200104063545,15,당음리(신대방향),128.78474,35.8309
991,20200104063534,20200104063537,3,영대교(대구방향),128.73299,35.83428
399,20200104063551,20200104063557,6,갑제삼거리(경산방향),128.76951,35.81505
991,20200104063553,20200104063604,11,정평역4번출구,128.73069,35.83424
990,20200104063614,20200104063650,38,서부1동행정복지센터,128.7279,35.82143
압량1,20200104063616,20200104063627,11,호곡지 건너,128.78068,35.83156
991,20200104063623,20200104063640,17,정평역1번출구(현대타운),128.72772,35.83437
399,20200104063637,20200104063708,33,옥산네거리(경산방향),128.72672,35.82406
991,20200104063659,20200104063707,8,중산삼거리(대구방향),128.7245,35.83497
압량1,20200104063712,20200104063720,8,신대삼거리(영대방향),128.77493,35.83409
399,20200104063731,20200104063751,21,서부1동행정복지센터,128.72802,35.82146
399,20200104063805,20200104063812,7,경북권역재활병원 건너,128.76622,35.8161
압량1,20200104063807,20200104063824,17,감못 건너,128.77189,35.83413
991,20200104063808,20200104063931,86,사월역(4번출구),128.71821,35.83656
399,20200104063823,20200104063831,8,시립박물관,128.76472,35.81555
990,20200104063844,20200104063913,30,중앙초교 건너,128.73226,35.82158
399,20200104063853,20200104063917,25,중앙초교 건너,128.73228,35.82162
399,20200104063909,20200104063940,32,사동부영1차A,128.76289,35.81185
399,20200104063913,20200104063946,35,사월역(4번출구),128.71822,35.83657
990,20200104063935,20200104064012,39,경산시장,128.7348,35.82274
399,20200104063944,20200104064032,50,경산시장,128.73475,35.82279
압량1,20200104063955,20200104064010,16,신대한신휴플러스,128.76821,35.83738
991,20200104064015,20200104064025,11,시지보성아파트앞,128.71287,35.83776
399,20200104064017,20200104064028,11,시지보성아파트앞,128.71284,35.83779
압량1,20200104064027,20200104064041,15,신대푸르지오아파트 앞,128.76656,35.83799
399,20200104064032,20200104064043,13,상대온천,128.79301,35.78089
압량1,20200104064105,20200104064224,82,신대리부영아파트 건너(경산방향),128.76712,35.83967
399,20200104064144,20200104064200,16,상대리(경산방향),128.79553,35.78319
399,20200104064211,20200104064226,15,상대리(새한에너지앞),128.79671,35.78462
990,20200104064216,20200104064226,10,경산시청별관 건너,128.7402,35.82391
399,20200104064224,20200104064249,26,신매광장건너,128.70775,35.84023
399,20200104064229,20200104064237,8,경산시청별관 건너,128.74022,35.82396
399,20200104064240,20200104064308,30,사동중 건너,128.76014,35.81447
991,20200104064242,20200104064301,20,신매광장건너,128.70781,35.84025
990,20200104064246,20200104064255,9,경산경찰서,128.74375,35.82369
399,20200104064259,20200104064309,10,경산경찰서,128.74372,35.82372
399,20200104064320,20200104064330,10,사동우방A후문 건너,128.75774,35.81553
990,20200104064328,20200104064352,25,계양네거리(자인방향),128.74917,35.82277
399,20200104064330,20200104064339,9,하대2리(경산방향),128.80018,35.791
압량1,20200104064339,20200104064352,13,신대근린공원 앞,128.76438,35.84128
399,20200104064357,20200104064408,12,동부파출소 건너,128.74849,35.822
399,20200104064400,20200104064415,16,하대리5(경산방향),128.80112,35.79336
399,20200104064403,20200104064418,15,동부우체국(대구방향),128.75408,35.8171
압량1,20200104064406,20200104064417,11,압량한라빌라트 건너,128.76333,35.84003
990,20200104064407,20200104064441,35,태왕드림하이츠 건너,128.75168,35.82206
399,20200104064429,20200104064448,19,계양시장 건너,128.75268,35.81772
399,20200104064429,20200104064452,24,시민회관앞,128.74783,35.81982
압량1,20200104064449,20200104064512,24,우진아파트 앞,128.75959,35.84074
399,20200104064450,20200104064503,13,구삼성초교입구(경산방향),128.80209,35.79562
399,20200104064508,20200104064518,11,대구농업마이스터고건너,128.70334,35.84135
